date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:56	200/200	---M--	200	added ('OK')	text/plain	etag:%22c8-64d0ce4c-b8295c387aa1992b;;;%22	https://zonexdev/robots.txt		(from )
21:33:56	155229/155229	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202025%2016:33:16%20GMT	https://zonexdev/	C:/My%20Web%20Sites/zonex/zonexdev/index.html	(from )
21:33:57	137746/137746	---M--	200	added ('OK')	image/jpeg	etag:%2221a12-64d0ce4d-f0bd85f87d222819;;;%22	https://zonexdev/assets/images/social_img_v2.jpg	C:/My%20Web%20Sites/zonex/zonexdev/assets/images/social_img_v2.jpg	(from https://zonexdev/)
21:33:57	370070/370070	---M-Z	200	added ('OK')	image/x-icon	etag:%225a596-64d0ce4c-fd0ef5f83ab02feb;gz%22	https://zonexdev/assets/img/Logo_icon.png	C:/My%20Web%20Sites/zonex/zonexdev/assets/img/Logo_icon.png	(from https://zonexdev/)
21:33:58	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-64d0ce4c-a868809358a83bc6;gz%22	https://zonexdev/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/bootstrap.min.css	(from https://zonexdev/)
21:33:58	54962/54962	---M-Z	200	added ('OK')	text/css	etag:%22d6b2-64d0ce4c-eedb32ae1d7a8366;gz%22	https://zonexdev/assets/css/settings.min.css?v=1.1	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/settings.minf9e3.css	(from https://zonexdev/)
21:33:58	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22e7a9-64d0ce4d-dc8b6ff316f3ef0a;gz%22	https://zonexdev/assets/fontawesome/css/all.min.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/fontawesome/css/all.min.css	(from https://zonexdev/)
21:33:58	28765/28765	---M-Z	200	added ('OK')	text/css	etag:%22705d-64d0ce4d-b5a5dfc963a573ef;gz%22	https://zonexdev/assets/aos/aos.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/aos/aos.css	(from https://zonexdev/)
21:33:58	3184/3184	---M-Z	200	added ('OK')	text/css	etag:%22c70-64d0ce4c-ff7679dc7a400ecc;gz%22	https://zonexdev/assets/css/slicknav.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/slicknav.css	(from https://zonexdev/)
21:33:59	116174/116174	---M-Z	200	added ('OK')	text/css	etag:%221c5ce-6662fa4d-beb037452db8dd18;gz%22	https://zonexdev/assets/css/style.css?v=1.24	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/style2c97.css	(from https://zonexdev/)
21:33:59	7471/7471	---M-Z	200	added ('OK')	text/css	etag:%221d2f-64d0ce4c-ab4686a8a3f32900;gz%22	https://zonexdev/assets/css/responsive.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/responsive.css	(from https://zonexdev/)
21:33:59	64130/64130	---M-Z	200	added ('OK')	text/css	etag:%22fa82-64d0ce4c-170f5a8b1a3de505;gz%22	https://zonexdev/assets/css/animate.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/animate.css	(from https://zonexdev/)
21:33:59	6817/6817	---M-Z	200	added ('OK')	text/css	etag:%221aa1-64d0ce4c-89ae3cad1dce6887;gz%22	https://zonexdev/assets/css/colors/red.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/colors/red.css	(from https://zonexdev/)
21:34:00	161572/161572	---M-Z	200	added ('OK')	text/css	etag:%2227724-64d0ce4c-17d256ba880e0ff8;gz%22	https://zonexdev/assets/css/responsive_bootstrap_carousel_mega_min.css	C:/My%20Web%20Sites/zonex/zonexdev/assets/css/responsive_bootstrap_carousel_mega_min.css	(from https://zonexdev/)
